criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8712731133327435,0.028902894847523092,0.047694173454822575,0.010111616240223609,0,0.7784194946289062,"./trained_models/decisionTree_bank_1_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,12,2,2,0.21554848115423816,auto,2019,,0.0,0.0,,0.9124480682805024,0.8827744846500929,0.0,0.0,0.0,1,1.1402461528778076,"./trained_models/decisionTree_bank_1_gini_best_12_2_2_0.21554848115423816_auto_2019_None_0.0_None_0.9124480682805024.pkl"
gini,random,,2,3,0.08782320174479334,,2019,,0.0,0.0,,0.8482404755560656,0.8827744846500929,0.0,0.0,0.0,2,1.5061836242675781,"./trained_models/decisionTree_bank_1_gini_random_None_2_3_0.08782320174479334_None_2019_None_0.0_None_0.8482404755560656.pkl"
gini,best,,2,1,0.04543110249173112,,2019,,0.0,0.0,,0.0,0.8853401751747324,0.027698329635589887,0.04606286959228134,0.009333789678898433,3,1.9022252559661865,"./trained_models/decisionTree_bank_1_gini_best_None_2_1_0.04543110249173112_None_2019_None_0.0_None_0.0.pkl"
gini,random,,5,4,0.2687579262829947,log2,2019,,0.0,0.0,,0.19381845018763771,0.8827744846500929,0.0,0.0,0.0,4,2.260380268096924,"./trained_models/decisionTree_bank_1_gini_random_None_5_4_0.2687579262829947_log2_2019_None_0.0_None_0.19381845018763771.pkl"
gini,best,,2,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,5,2.626286268234253,"./trained_models/decisionTree_bank_1_gini_best_None_2_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
entropy,random,,3,5,0.10176519085619154,,2019,,0.0,0.0,,0.5994666252484145,0.8827744846500929,0.0,0.0,0.0,6,2.998109817504883,"./trained_models/decisionTree_bank_1_entropy_random_None_3_5_0.10176519085619154_None_2019_None_0.0_None_0.5994666252484145.pkl"
gini,best,,2,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,7,3.3645496368408203,"./trained_models/decisionTree_bank_1_gini_best_None_2_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
entropy,random,,2,5,0.010895713345406547,log2,2019,,0.0,0.0,,0.8575526738846723,0.8827744846500929,0.0,0.0,0.0,8,3.7228190898895264,"./trained_models/decisionTree_bank_1_entropy_random_None_2_5_0.010895713345406547_log2_2019_None_0.0_None_0.8575526738846723.pkl"
entropy,random,17,5,3,0.3520221076546982,sqrt,2019,,0.0,0.0,,0.8749800294802864,0.8827744846500929,0.0,0.0,0.0,9,4.074995756149292,"./trained_models/decisionTree_bank_1_entropy_random_17_5_3_0.3520221076546982_sqrt_2019_None_0.0_None_0.8749800294802864.pkl"
gini,best,,2,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,10,4.443312883377075,"./trained_models/decisionTree_bank_1_gini_best_None_2_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
gini,random,17,3,2,0.42106231265681787,auto,2019,,0.0,0.0,,0.9062270155523685,0.8827744846500929,0.0,0.0,0.0,11,4.802998781204224,"./trained_models/decisionTree_bank_1_gini_random_17_3_2_0.42106231265681787_auto_2019_None_0.0_None_0.9062270155523685.pkl"
gini,random,,3,4,0.3936921073777478,auto,2019,,0.0,0.0,,0.8292346529189715,0.8827744846500929,0.0,0.0,0.0,12,5.15908408164978,"./trained_models/decisionTree_bank_1_gini_random_None_3_4_0.3936921073777478_auto_2019_None_0.0_None_0.8292346529189715.pkl"
entropy,best,,2,1,0.04543110249173112,log2,2019,,0.0,0.0,,0.0,0.8827744846500929,0.0,0.0,0.0,13,5.536661863327026,"./trained_models/decisionTree_bank_1_entropy_best_None_2_1_0.04543110249173112_log2_2019_None_0.0_None_0.0.pkl"
