criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.06953476394212038,0.03294908902934923,0.10612043885489153,0,0.2956700325012207,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.06953476394212038,0.03294908902934923,0.10612043885489153,1,0.40972042083740234,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.06953476394212038,0.03294908902934923,0.10612043885489153,2,0.5251979827880859,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,3,5,0.329706872043997,,2019,,0.0,0.0,,0.028945681327712598,0.7565409654833558,0.0,0.0,0.0,3,0.5805604457855225,"./trained_models/decisionTree_census_9_entropy_random_None_3_5_0.329706872043997_None_2019_None_0.0_None_0.028945681327712598.pkl"
gini,best,,4,5,0.12602451566094935,log2,2019,,0.0,0.0,,0.4519877570515743,0.7565409654833558,0.0,0.0,0.0,4,0.6369264125823975,"./trained_models/decisionTree_census_9_gini_best_None_4_5_0.12602451566094935_log2_2019_None_0.0_None_0.4519877570515743.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.06953476394212038,0.03294908902934923,0.10612043885489153,5,0.7509422302246094,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.4298253030051749,,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,6,0.8088302612304688,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.4298253030051749,,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,7,0.8667275905609131,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,4,1,0.4602056754552624,log2,2019,,0.0,0.0,,0.28323403752276666,0.7565409654833558,0.0,0.0,0.0,8,0.9192678928375244,"./trained_models/decisionTree_census_9_entropy_random_None_4_1_0.4602056754552624_log2_2019_None_0.0_None_0.28323403752276666.pkl"
gini,best,,2,1,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,9,0.9729208946228027,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,5,3,0.2877315733507845,,2019,,0.0,0.0,,0.023717211522422028,0.7565409654833558,0.0,0.0,0.0,10,1.0304794311523438,"./trained_models/decisionTree_census_9_gini_best_None_5_3_0.2877315733507845_None_2019_None_0.0_None_0.023717211522422028.pkl"
gini,random,,3,1,0.42991124242106543,auto,2019,,0.0,0.0,,0.43006454398885946,0.7565409654833558,0.0,0.0,0.0,11,1.0836238861083984,"./trained_models/decisionTree_census_9_gini_random_None_3_1_0.42991124242106543_auto_2019_None_0.0_None_0.43006454398885946.pkl"
entropy,random,6,4,4,0.1639701940404063,,2019,,0.0,0.0,,0.70062844946083,0.7565409654833558,0.0,0.0,0.0,12,1.13865065574646,"./trained_models/decisionTree_census_9_entropy_random_6_4_4_0.1639701940404063_None_2019_None_0.0_None_0.70062844946083.pkl"
gini,random,7,3,3,0.24439640812259183,auto,2019,,0.0,0.0,,0.6073119405368601,0.7565409654833558,0.0,0.0,0.0,13,1.1910130977630615,"./trained_models/decisionTree_census_9_gini_random_7_3_3_0.24439640812259183_auto_2019_None_0.0_None_0.6073119405368601.pkl"
gini,best,,2,1,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,14,1.2447774410247803,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,15,1.298386812210083,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,9,4,2,0.15057051406337735,,2019,,0.0,0.0,,0.6771628528756737,0.7565409654833558,0.0,0.0,0.0,16,1.3603718280792236,"./trained_models/decisionTree_census_9_gini_best_9_4_2_0.15057051406337735_None_2019_None_0.0_None_0.6771628528756737.pkl"
gini,best,,2,1,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,17,1.4138567447662354,"./trained_models/decisionTree_census_9_gini_best_None_2_1_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
entropy,random,,5,2,0.3677426710351147,auto,2019,,0.0,0.0,,0.8825490266304421,0.7565409654833558,0.0,0.0,0.0,18,1.466646432876587,"./trained_models/decisionTree_census_9_entropy_random_None_5_2_0.3677426710351147_auto_2019_None_0.0_None_0.8825490266304421.pkl"
gini,best,,5,5,0.26770705869331307,auto,2019,,0.0,0.0,,0.28657516365522473,0.7565409654833558,0.0,0.0,0.0,19,1.5207455158233643,"./trained_models/decisionTree_census_9_gini_best_None_5_5_0.26770705869331307_auto_2019_None_0.0_None_0.28657516365522473.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,20,1.5734686851501465,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,21,1.6272871494293213,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,22,1.6802864074707031,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,23,1.7329199314117432,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,4,2,0.2869480451999357,auto,2019,,0.0,0.0,,0.18778606705661666,0.7565409654833558,0.0,0.0,0.0,24,1.7875664234161377,"./trained_models/decisionTree_census_9_gini_best_None_4_2_0.2869480451999357_auto_2019_None_0.0_None_0.18778606705661666.pkl"
gini,random,,3,3,0.3873550028223233,auto,2019,,0.0,0.0,,0.6967518322999298,0.7565409654833558,0.0,0.0,0.0,25,1.8403782844543457,"./trained_models/decisionTree_census_9_gini_random_None_3_3_0.3873550028223233_auto_2019_None_0.0_None_0.6967518322999298.pkl"
gini,best,5,5,5,0.0506514248843688,auto,2019,,0.0,0.0,,0.944911037751027,0.7565409654833558,0.0,0.0,0.0,26,1.8977034091949463,"./trained_models/decisionTree_census_9_gini_best_5_5_5_0.0506514248843688_auto_2019_None_0.0_None_0.944911037751027.pkl"
gini,best,,2,5,0.4298253030051749,log2,2019,,0.0,0.0,,0.0,0.7565409654833558,0.0,0.0,0.0,27,1.9512221813201904,"./trained_models/decisionTree_census_9_gini_best_None_2_5_0.4298253030051749_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,3,4,0.045503707503972,sqrt,2019,,0.0,0.0,,0.9230576082099028,0.7565409654833558,0.0,0.0,0.0,28,2.0077695846557617,"./trained_models/decisionTree_census_9_gini_best_None_3_4_0.045503707503972_sqrt_2019_None_0.0_None_0.9230576082099028.pkl"
