criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.0610404206557004,0.07177150807408084,0.05030933323731997,0,0.2978553771972656,"./trained_models/decisionTree_census_8_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,18,3,2,0.13716282804600957,log2,2019,,0.0,0.0,,0.1569921191170973,0.7565409654833558,0.0,0.0,0.0,1,0.3553659915924072,"./trained_models/decisionTree_census_8_gini_best_18_3_2_0.13716282804600957_log2_2019_None_0.0_None_0.1569921191170973.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.0610404206557004,0.07177150807408084,0.05030933323731997,2,0.4717271327972412,"./trained_models/decisionTree_census_8_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.0610404206557004,0.07177150807408084,0.05030933323731997,3,0.5882847309112549,"./trained_models/decisionTree_census_8_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,7,5,2,0.07735558683168046,sqrt,2019,,0.0,0.0,,0.30547262298502637,0.7565409654833558,0.0,0.0,0.0,4,0.643085241317749,"./trained_models/decisionTree_census_8_gini_random_7_5_2_0.07735558683168046_sqrt_2019_None_0.0_None_0.30547262298502637.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8019899275273308,0.0610404206557004,0.07177150807408084,0.05030933323731997,5,0.7593731880187988,"./trained_models/decisionTree_census_8_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,3,1,0.0,,2019,,0.0,0.0,,0.0,0.808991524382754,0.047160472833013785,0.04909451692363842,0.04522642874238915,6,0.8752717971801758,"./trained_models/decisionTree_census_8_gini_best_None_3_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,3,1,0.0,,2019,,0.0,0.0,,0.0,0.808991524382754,0.047160472833013785,0.04909451692363842,0.04522642874238915,7,0.9912636280059814,"./trained_models/decisionTree_census_8_gini_best_None_3_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,7,4,2,0.05998382060614438,auto,2019,,0.0,0.0,,0.6757506020136035,0.7565409654833558,0.0,0.0,0.0,8,1.0473785400390625,"./trained_models/decisionTree_census_8_gini_random_7_4_2_0.05998382060614438_auto_2019_None_0.0_None_0.6757506020136035.pkl"
gini,random,,4,2,0.46079836644150646,sqrt,2019,,0.0,0.0,,0.938682845913896,0.7565409654833558,0.0,0.0,0.0,9,1.1024274826049805,"./trained_models/decisionTree_census_8_gini_random_None_4_2_0.46079836644150646_sqrt_2019_None_0.0_None_0.938682845913896.pkl"
