criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.9379157427937915,0.0394238437906992,0.05193426908592946,0.026913418495468938,0,0.07400870323181152,"./trained_models/decisionTree_compas_1_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,19,5,5,0.01886393676539287,sqrt,2019,,0.0,0.0,,0.7630108741454945,0.5471175166297118,0.0,0.0,0.0,1,0.09009718894958496,"./trained_models/decisionTree_compas_1_entropy_random_19_5_5_0.01886393676539287_sqrt_2019_None_0.0_None_0.7630108741454945.pkl"
gini,best,,4,1,0.0,,2019,,0.0,0.0,,0.0,0.9323725055432373,0.031095693903127754,0.030583133630035397,0.03160825417622011,2,0.11058688163757324,"./trained_models/decisionTree_compas_1_gini_best_None_4_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,2,3,0.30214393517381366,auto,2019,,0.0,0.0,,0.8387592039855803,0.5471175166297118,0.0,0.0,0.0,3,0.12669801712036133,"./trained_models/decisionTree_compas_1_entropy_random_None_2_3_0.30214393517381366_auto_2019_None_0.0_None_0.8387592039855803.pkl"
entropy,best,9,2,2,0.03994458551377253,,2019,,0.0,0.0,,0.5589434945543046,0.970620842572062,0.01627725006368963,0.0,0.03255450012737926,4,0.14455294609069824,"./trained_models/decisionTree_compas_1_entropy_best_9_2_2_0.03994458551377253_None_2019_None_0.0_None_0.5589434945543046.pkl"
gini,best,8,4,1,0.0,,2019,,0.0,0.0,,0.0,0.9623059866962306,0.02248516972590575,0.012415839324432243,0.03255450012737926,5,0.16328048706054688,"./trained_models/decisionTree_compas_1_gini_best_8_4_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,5,5,0.4109983929812153,auto,2019,,0.0,0.0,,0.10589616557634883,0.5471175166297118,0.0,0.0,0.0,6,0.17880940437316895,"./trained_models/decisionTree_compas_1_entropy_random_None_5_5_0.4109983929812153_auto_2019_None_0.0_None_0.10589616557634883.pkl"
gini,best,13,4,1,0.0,,2019,,0.0,0.0,,0.0,0.9556541019955654,0.03425287742135383,0.03125641903457721,0.03724933580813044,7,0.19869136810302734,"./trained_models/decisionTree_compas_1_gini_best_13_4_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,best,17,3,2,0.34778762395501556,sqrt,2019,,0.0,0.0,,0.9865160932652397,0.5471175166297118,0.0,0.0,0.0,8,0.214324951171875,"./trained_models/decisionTree_compas_1_entropy_best_17_3_2_0.34778762395501556_sqrt_2019_None_0.0_None_0.9865160932652397.pkl"
gini,best,6,4,1,0.0,,2019,,0.0,0.0,,0.0,0.9667405764966741,0.016688068276630386,0.0008216364258815112,0.03255450012737926,9,0.2324368953704834,"./trained_models/decisionTree_compas_1_gini_best_6_4_1_0.0_None_2019_None_0.0_None_0.0.pkl"
