criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.9379157427937915,0.0329912157142335,0.03757959901304608,0.028402832415420926,0,0.07486677169799805,"./trained_models/decisionTree_compas_3_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,1,0.09624743461608887,"./trained_models/decisionTree_compas_3_gini_best_None_2_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,2,0.1169731616973877,"./trained_models/decisionTree_compas_3_gini_best_None_2_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.0,sqrt,2019,,0.0,0.0,,0.0,0.9645232815964523,0.016204938017329442,0.0001255854498175557,0.03228429058484133,3,0.134932279586792,"./trained_models/decisionTree_compas_3_gini_best_None_2_5_0.0_sqrt_2019_None_0.0_None_0.0.pkl"
entropy,random,,4,4,0.3433955854607371,sqrt,2019,,0.0,0.0,,0.3909543270323905,0.5471175166297118,0.0,0.0,0.0,4,0.15117907524108887,"./trained_models/decisionTree_compas_3_entropy_random_None_4_4_0.3433955854607371_sqrt_2019_None_0.0_None_0.3909543270323905.pkl"
gini,best,,2,5,0.0,log2,2019,,0.0,0.0,,0.0,0.9645232815964523,0.016204938017329442,0.0001255854498175557,0.03228429058484133,5,0.16880083084106445,"./trained_models/decisionTree_compas_3_gini_best_None_2_5_0.0_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,6,0.18937039375305176,"./trained_models/decisionTree_compas_3_gini_best_None_2_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,3,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,7,0.21032404899597168,"./trained_models/decisionTree_compas_3_gini_best_None_3_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,8,4,5,0.3431495973324153,log2,2019,,0.0,0.0,,0.1670251355404714,0.5471175166297118,0.0,0.0,0.0,8,0.22627997398376465,"./trained_models/decisionTree_compas_3_gini_random_8_4_5_0.3431495973324153_log2_2019_None_0.0_None_0.1670251355404714.pkl"
entropy,random,,2,2,0.05386878132780639,log2,2019,,0.0,0.0,,0.7765044917069763,0.5471175166297118,0.0,0.0,0.0,9,0.24273276329040527,"./trained_models/decisionTree_compas_3_entropy_random_None_2_2_0.05386878132780639_log2_2019_None_0.0_None_0.7765044917069763.pkl"
entropy,best,,3,3,0.4490454437906608,log2,2019,,0.0,0.0,,0.938936463642419,0.5471175166297118,0.0,0.0,0.0,10,0.2587761878967285,"./trained_models/decisionTree_compas_3_entropy_best_None_3_3_0.4490454437906608_log2_2019_None_0.0_None_0.938936463642419.pkl"
gini,best,,3,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,11,0.27980589866638184,"./trained_models/decisionTree_compas_3_gini_best_None_3_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,5,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,12,0.30073976516723633,"./trained_models/decisionTree_compas_3_gini_best_None_5_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,5,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,13,0.32140254974365234,"./trained_models/decisionTree_compas_3_gini_best_None_5_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,5,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,14,0.342029333114624,"./trained_models/decisionTree_compas_3_gini_best_None_5_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,5,5,0.0,,2019,,0.0,0.0,,0.0,0.9645232815964523,0.015379638996728541,0.0006648641460927918,0.03009441384736429,15,0.3628208637237549,"./trained_models/decisionTree_compas_3_gini_best_None_5_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,5,4,0.0,,2019,,0.0,0.0,,0.0,0.958980044345898,0.017916807425014905,0.007365217262828128,0.028468397587201683,16,0.3839302062988281,"./trained_models/decisionTree_compas_3_gini_best_None_5_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,13,2,5,0.36646110540370236,log2,2019,,0.0,0.0,,0.28883182682688296,0.5471175166297118,0.0,0.0,0.0,17,0.4003148078918457,"./trained_models/decisionTree_compas_3_gini_random_13_2_5_0.36646110540370236_log2_2019_None_0.0_None_0.28883182682688296.pkl"
gini,best,,5,4,0.0,,2019,,0.0,0.0,,0.0,0.958980044345898,0.017916807425014905,0.007365217262828128,0.028468397587201683,18,0.4212470054626465,"./trained_models/decisionTree_compas_3_gini_best_None_5_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,4,4,0.0,,2019,,0.0,0.0,,0.0,0.958980044345898,0.017916807425014905,0.007365217262828128,0.028468397587201683,19,0.44211745262145996,"./trained_models/decisionTree_compas_3_gini_best_None_4_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,4,4,0.0,,2019,,0.0,0.0,,0.0,0.958980044345898,0.017916807425014905,0.007365217262828128,0.028468397587201683,20,0.4632723331451416,"./trained_models/decisionTree_compas_3_gini_best_None_4_4_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,2,5,0.3796119305306099,sqrt,2019,,0.0,0.0,,0.8349745172560101,0.5471175166297118,0.0,0.0,0.0,21,0.47921228408813477,"./trained_models/decisionTree_compas_3_entropy_random_None_2_5_0.3796119305306099_sqrt_2019_None_0.0_None_0.8349745172560101.pkl"
gini,random,,3,2,0.39280004604432933,log2,2019,,0.0,0.0,,0.31452125931239694,0.5471175166297118,0.0,0.0,0.0,22,0.495711088180542,"./trained_models/decisionTree_compas_3_gini_random_None_3_2_0.39280004604432933_log2_2019_None_0.0_None_0.31452125931239694.pkl"
entropy,best,14,2,1,0.13788913056712754,auto,2019,,0.0,0.0,,0.39335083549231875,0.5471175166297118,0.0,0.0,0.0,23,0.513310432434082,"./trained_models/decisionTree_compas_3_entropy_best_14_2_1_0.13788913056712754_auto_2019_None_0.0_None_0.39335083549231875.pkl"
entropy,random,5,5,5,0.06714672935100653,,2019,,0.0,0.0,,0.6450037039953451,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,24,0.530540943145752,"./trained_models/decisionTree_compas_3_entropy_random_5_5_5_0.06714672935100653_None_2019_None_0.0_None_0.6450037039953451.pkl"
gini,best,,4,4,0.0,log2,2019,,0.0,0.0,,0.0,0.9617516629711752,0.00948450790980256,0.0001255854498175557,0.018843430369787563,25,0.5481672286987305,"./trained_models/decisionTree_compas_3_gini_best_None_4_4_0.0_log2_2019_None_0.0_None_0.0.pkl"
entropy,best,,3,4,0.4216639010770265,auto,2019,,0.0,0.0,,0.29713872053125107,0.5471175166297118,0.0,0.0,0.0,26,0.5645442008972168,"./trained_models/decisionTree_compas_3_entropy_best_None_3_4_0.4216639010770265_auto_2019_None_0.0_None_0.29713872053125107.pkl"
gini,random,,5,3,0.27946353960657827,log2,2019,,0.0,0.0,,0.853942025612989,0.5471175166297118,0.0,0.0,0.0,27,0.5810596942901611,"./trained_models/decisionTree_compas_3_gini_random_None_5_3_0.27946353960657827_log2_2019_None_0.0_None_0.853942025612989.pkl"
gini,best,,3,1,0.2603212169320049,sqrt,2019,,0.0,0.0,,0.899977967817128,0.5471175166297118,0.0,0.0,0.0,28,0.5973756313323975,"./trained_models/decisionTree_compas_3_gini_best_None_3_1_0.2603212169320049_sqrt_2019_None_0.0_None_0.899977967817128.pkl"
gini,best,13,4,5,0.15081259652456497,sqrt,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,29,0.6141800880432129,"./trained_models/decisionTree_compas_3_gini_best_13_4_5_0.15081259652456497_sqrt_2019_None_0.0_None_0.13573726274339074.pkl"
gini,random,9,2,2,0.4403793994227439,sqrt,2019,,0.0,0.0,,0.6222074739494575,0.5471175166297118,0.0,0.0,0.0,30,0.6303269863128662,"./trained_models/decisionTree_compas_3_gini_random_9_2_2_0.4403793994227439_sqrt_2019_None_0.0_None_0.6222074739494575.pkl"
gini,best,,5,5,0.4574863701964513,sqrt,2019,,0.0,0.0,,0.6854654292736887,0.5471175166297118,0.0,0.0,0.0,31,0.6465067863464355,"./trained_models/decisionTree_compas_3_gini_best_None_5_5_0.4574863701964513_sqrt_2019_None_0.0_None_0.6854654292736887.pkl"
entropy,best,,5,1,0.052092826841698206,sqrt,2019,,0.0,0.0,,0.20290707515806916,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,32,0.6635966300964355,"./trained_models/decisionTree_compas_3_entropy_best_None_5_1_0.052092826841698206_sqrt_2019_None_0.0_None_0.20290707515806916.pkl"
entropy,random,19,4,1,0.21264408122346518,auto,2019,,0.0,0.0,,0.8046081018227735,0.5471175166297118,0.0,0.0,0.0,33,0.679931640625,"./trained_models/decisionTree_compas_3_entropy_random_19_4_1_0.21264408122346518_auto_2019_None_0.0_None_0.8046081018227735.pkl"
entropy,random,,5,1,0.15625950094112934,sqrt,2019,,0.0,0.0,,0.8735205165840766,0.5471175166297118,0.0,0.0,0.0,34,0.6963460445404053,"./trained_models/decisionTree_compas_3_entropy_random_None_5_1_0.15625950094112934_sqrt_2019_None_0.0_None_0.8735205165840766.pkl"
entropy,best,9,3,3,0.007386895420381005,,2019,,0.0,0.0,,0.9972410056015066,0.5471175166297118,0.0,0.0,0.0,35,0.7158348560333252,"./trained_models/decisionTree_compas_3_entropy_best_9_3_3_0.007386895420381005_None_2019_None_0.0_None_0.9972410056015066.pkl"
gini,random,,4,3,0.21437101649897225,,2019,,0.0,0.0,,0.1530869343944561,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,36,0.7329845428466797,"./trained_models/decisionTree_compas_3_gini_random_None_4_3_0.21437101649897225_None_2019_None_0.0_None_0.1530869343944561.pkl"
gini,random,,3,2,0.07636102168325828,auto,2019,,0.0,0.0,,0.34486835609442196,0.5471175166297118,0.0,0.0,0.0,37,0.749253511428833,"./trained_models/decisionTree_compas_3_gini_random_None_3_2_0.07636102168325828_auto_2019_None_0.0_None_0.34486835609442196.pkl"
entropy,best,,3,4,0.05072252220872022,,2019,,0.0,0.0,,0.029227240278749154,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,38,0.7674863338470459,"./trained_models/decisionTree_compas_3_entropy_best_None_3_4_0.05072252220872022_None_2019_None_0.0_None_0.029227240278749154.pkl"
gini,best,8,4,5,0.15081259652456497,sqrt,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,39,0.7842411994934082,"./trained_models/decisionTree_compas_3_gini_best_8_4_5_0.15081259652456497_sqrt_2019_None_0.0_None_0.13573726274339074.pkl"
gini,best,5,4,5,0.15081259652456497,sqrt,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,40,0.8011493682861328,"./trained_models/decisionTree_compas_3_gini_best_5_4_5_0.15081259652456497_sqrt_2019_None_0.0_None_0.13573726274339074.pkl"
gini,best,,5,3,0.36684756678789493,sqrt,2019,,0.0,0.0,,0.7747299215643362,0.5471175166297118,0.0,0.0,0.0,41,0.8174221515655518,"./trained_models/decisionTree_compas_3_gini_best_None_5_3_0.36684756678789493_sqrt_2019_None_0.0_None_0.7747299215643362.pkl"
entropy,random,14,4,1,0.05423400648150095,sqrt,2019,,0.0,0.0,,0.2370107536711399,0.9495565410199557,0.03084185680566483,0.0,0.06168371361132966,42,0.8343303203582764,"./trained_models/decisionTree_compas_3_entropy_random_14_4_1_0.05423400648150095_sqrt_2019_None_0.0_None_0.2370107536711399.pkl"
gini,best,20,5,3,0.4858195318333583,sqrt,2019,,0.0,0.0,,0.12338647409517096,0.5471175166297118,0.0,0.0,0.0,43,0.8504102230072021,"./trained_models/decisionTree_compas_3_gini_best_20_5_3_0.4858195318333583_sqrt_2019_None_0.0_None_0.12338647409517096.pkl"
entropy,best,13,5,5,0.07276848145239687,sqrt,2019,,0.0,0.0,,0.48120943254076076,0.5471175166297118,0.0,0.0,0.0,44,0.867048978805542,"./trained_models/decisionTree_compas_3_entropy_best_13_5_5_0.07276848145239687_sqrt_2019_None_0.0_None_0.48120943254076076.pkl"
gini,best,,4,5,0.15081259652456497,sqrt,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,45,0.8838889598846436,"./trained_models/decisionTree_compas_3_gini_best_None_4_5_0.15081259652456497_sqrt_2019_None_0.0_None_0.13573726274339074.pkl"
gini,best,,4,5,0.15081259652456497,sqrt,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,46,0.9004716873168945,"./trained_models/decisionTree_compas_3_gini_best_None_4_5_0.15081259652456497_sqrt_2019_None_0.0_None_0.13573726274339074.pkl"
gini,best,,4,5,0.15081259652456497,log2,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,47,0.9171013832092285,"./trained_models/decisionTree_compas_3_gini_best_None_4_5_0.15081259652456497_log2_2019_None_0.0_None_0.13573726274339074.pkl"
gini,best,,4,2,0.15081259652456497,log2,2019,,0.0,0.0,,0.13573726274339074,0.8470066518847007,0.04750852347233149,0.0,0.09501704694466298,48,0.9339101314544678,"./trained_models/decisionTree_compas_3_gini_best_None_4_2_0.15081259652456497_log2_2019_None_0.0_None_0.13573726274339074.pkl"
entropy,random,12,5,1,0.016985626528121096,auto,2019,,0.0,0.0,,0.5652569468526714,0.5471175166297118,0.0,0.0,0.0,49,0.950465202331543,"./trained_models/decisionTree_compas_3_entropy_random_12_5_1_0.016985626528121096_auto_2019_None_0.0_None_0.5652569468526714.pkl"
