criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.66,0.06934714097467899,0.13353338334583642,0.005160898603521563,0,0.04510498046875,"./trained_models/decisionTree_credit_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,5,5,3,0.2384499133089665,sqrt,2019,,0.0,0.0,,0.907177271540989,0.704,0.0,0.0,0.0,1,0.05238056182861328,"./trained_models/decisionTree_credit_9_entropy_random_5_5_3_0.2384499133089665_sqrt_2019_None_0.0_None_0.907177271540989.pkl"
entropy,random,6,2,4,0.1567425063797974,log2,2019,,0.0,0.0,,0.14276871972082367,0.704,0.0,0.0,0.0,2,0.059456825256347656,"./trained_models/decisionTree_credit_9_entropy_random_6_2_4_0.1567425063797974_log2_2019_None_0.0_None_0.14276871972082367.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.66,0.06934714097467899,0.13353338334583642,0.005160898603521563,3,0.0689091682434082,"./trained_models/decisionTree_credit_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.66,0.06934714097467899,0.13353338334583642,0.005160898603521563,4,0.07823371887207031,"./trained_models/decisionTree_credit_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,16,5,2,0.2626509369235638,sqrt,2019,,0.0,0.0,,0.74523230063425,0.704,0.0,0.0,0.0,5,0.08522558212280273,"./trained_models/decisionTree_credit_9_gini_best_16_5_2_0.2626509369235638_sqrt_2019_None_0.0_None_0.74523230063425.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.66,0.06934714097467899,0.13353338334583642,0.005160898603521563,6,0.09453725814819336,"./trained_models/decisionTree_credit_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,5,0.04935885837828541,log2,2019,,0.0,0.0,,0.22612263293322346,0.704,0.0,0.0,0.0,7,0.10176682472229004,"./trained_models/decisionTree_credit_9_gini_best_None_2_5_0.04935885837828541_log2_2019_None_0.0_None_0.22612263293322346.pkl"
gini,best,18,2,1,0.0,,2019,,0.0,0.0,,0.0,0.66,0.06934714097467899,0.13353338334583642,0.005160898603521563,8,0.11097359657287598,"./trained_models/decisionTree_credit_9_gini_best_18_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,8,2,4,0.0,,2019,,0.0,0.0,,0.0,0.712,0.09990976797022573,0.12453113278319583,0.07528840315725563,9,0.11963582038879395,"./trained_models/decisionTree_credit_9_gini_best_8_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,13,2,4,0.0,,2019,,0.0,0.0,,0.0,0.692,0.12134545476077581,0.18379594898724683,0.05889496053430479,10,0.12856197357177734,"./trained_models/decisionTree_credit_9_gini_best_13_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,11,2,4,0.0,,2019,,0.0,0.0,,0.0,0.668,0.07213939186071562,0.11027756939234806,0.03400121432908318,11,0.13635849952697754,"./trained_models/decisionTree_credit_9_gini_random_11_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,16,2,4,0.0,,2019,,0.0,0.0,,0.0,0.672,0.04872438510356186,0.07801950487621906,0.019429265330904666,12,0.1441967487335205,"./trained_models/decisionTree_credit_9_gini_random_16_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,,4,5,0.04954079069339576,sqrt,2019,,0.0,0.0,,0.24809365855180981,0.704,0.0,0.0,0.0,13,0.15123915672302246,"./trained_models/decisionTree_credit_9_gini_random_None_4_5_0.04954079069339576_sqrt_2019_None_0.0_None_0.24809365855180981.pkl"
gini,random,,2,2,0.4528134278938161,auto,2019,,0.0,0.0,,0.931051394571216,0.704,0.0,0.0,0.0,14,0.15851187705993652,"./trained_models/decisionTree_credit_9_gini_random_None_2_2_0.4528134278938161_auto_2019_None_0.0_None_0.931051394571216.pkl"
gini,random,7,2,4,0.0,,2019,,0.0,0.0,,0.0,0.676,0.09261775826470278,0.15153788447111777,0.033697632058287796,15,0.1660928726196289,"./trained_models/decisionTree_credit_9_gini_random_7_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,best,7,3,1,0.4597226203588197,,2019,,0.0,0.0,,0.20407566094551108,0.704,0.0,0.0,0.0,16,0.1732335090637207,"./trained_models/decisionTree_credit_9_entropy_best_7_3_1_0.4597226203588197_None_2019_None_0.0_None_0.20407566094551108.pkl"
gini,random,19,2,4,0.0,,2019,,0.0,0.0,,0.0,0.672,0.04872438510356186,0.07801950487621906,0.019429265330904666,17,0.18105220794677734,"./trained_models/decisionTree_credit_9_gini_random_19_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,best,17,3,2,0.4766545710709246,,2019,,0.0,0.0,,0.3065833231078052,0.704,0.0,0.0,0.0,18,0.18816733360290527,"./trained_models/decisionTree_credit_9_entropy_best_17_3_2_0.4766545710709246_None_2019_None_0.0_None_0.3065833231078052.pkl"
gini,random,12,2,4,0.0,,2019,,0.0,0.0,,0.0,0.68,0.04411804226102063,0.0870217554388597,0.001214329083181559,19,0.19601058959960938,"./trained_models/decisionTree_credit_9_gini_random_12_2_4_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,random,9,2,4,0.0,log2,2019,,0.0,0.0,,0.0,0.74,0.03740006039761308,0.0547636909227307,0.02003642987249546,20,0.20312881469726562,"./trained_models/decisionTree_credit_9_gini_random_9_2_4_0.0_log2_2019_None_0.0_None_0.0.pkl"
entropy,best,,4,1,0.24196500674352786,auto,2019,,0.0,0.0,,0.747734046256989,0.704,0.0,0.0,0.0,21,0.21014094352722168,"./trained_models/decisionTree_credit_9_entropy_best_None_4_1_0.24196500674352786_auto_2019_None_0.0_None_0.747734046256989.pkl"
gini,random,12,2,4,0.0,log2,2019,,0.0,0.0,,0.0,0.728,0.059259350356714875,0.06751687921980498,0.05100182149362477,22,0.2173464298248291,"./trained_models/decisionTree_credit_9_gini_random_12_2_4_0.0_log2_2019_None_0.0_None_0.0.pkl"
gini,best,,4,1,0.2853356565131526,sqrt,2019,,0.0,0.0,,0.6535998139032423,0.704,0.0,0.0,0.0,23,0.2243802547454834,"./trained_models/decisionTree_credit_9_gini_best_None_4_1_0.2853356565131526_sqrt_2019_None_0.0_None_0.6535998139032423.pkl"
gini,random,15,2,3,0.0,log2,2019,,0.0,0.0,,0.0,0.7,0.05718551677992356,0.04576144036009,0.06860959319975712,24,0.23165202140808105,"./trained_models/decisionTree_credit_9_gini_random_15_2_3_0.0_log2_2019_None_0.0_None_0.0.pkl"
gini,random,16,2,3,0.0,log2,2019,,0.0,0.0,,0.0,0.712,0.048975358593746784,0.0870217554388597,0.010928961748633864,25,0.23898863792419434,"./trained_models/decisionTree_credit_9_gini_random_16_2_3_0.0_log2_2019_None_0.0_None_0.0.pkl"
