solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,ovr,,,2019,0,False,,0.8955144651862338,0.006324482314491821,0.0037562917887461467,0.008892672840237495,0,1.8461406230926514,"./trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.7381690753987827,77.99696628733155,True,3.8282644988129273,1025,auto,,,2019,0,False,,0.8853401751747324,0.03359215246841957,0.06648636466080686,0.0006979402760322814,1,1.9488554000854492,"./trained_models/logisticRegression_bank_1_liblinear_l1_False_0.7381690753987827_77.99696628733155_True_3.8282644988129273_1025_auto_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.7381690753987827,77.99696628733155,True,5.711794003004175,1025,auto,,,2019,0,False,,0.8853401751747324,0.03359215246841957,0.06648636466080686,0.0006979402760322814,2,2.04965877532959,"./trained_models/logisticRegression_bank_1_liblinear_l1_False_0.7381690753987827_77.99696628733155_True_5.711794003004175_1025_auto_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.7381690753987827,77.99696628733155,True,2.2289346418369376,1025,auto,,,2019,0,False,,0.8853401751747324,0.03359215246841957,0.06648636466080686,0.0006979402760322814,3,2.152756929397583,"./trained_models/logisticRegression_bank_1_liblinear_l1_False_0.7381690753987827_77.99696628733155_True_2.2289346418369376_1025_auto_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.27263105218737893,92.04519945097825,True,9.969402395469656,1005,ovr,,,2019,0,False,,0.8911793329204636,0.0028569610875894356,0.005087092308187602,0.0006268298669912693,4,2.268373727798462,"./trained_models/logisticRegression_bank_1_liblinear_l1_False_0.27263105218737893_92.04519945097825_True_9.969402395469656_1005_ovr_None_None_2019_0_False_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,True,7.781969558606531,956,multinomial,,,2019,0,False,,0.8807396266477926,0.07452299095199626,0.1256747909891926,0.02337119091479992,5,2.376654863357544,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_True_7.781969558606531_956_multinomial_None_None_2019_0_False_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,True,7.781969558606531,956,multinomial,,,2019,0,True,,0.8807396266477926,0.07452299095199626,0.1256747909891926,0.02337119091479992,6,2.485576868057251,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_True_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8817128196054145,0.07718701473601297,0.13116970926301555,0.0232043202090104,7,2.5922842025756836,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8817128196054145,0.07718701473601297,0.13116970926301555,0.0232043202090104,8,2.6981348991394043,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
liblinear,l1,False,0.8229653051980947,13.338184449473315,False,7.157138430988366,1008,ovr,,,2019,0,True,,0.884455454304167,0.0077911180042165755,0.012964572802300983,0.002617663206132168,9,2.799940586090088,"./trained_models/logisticRegression_bank_1_liblinear_l1_False_0.8229653051980947_13.338184449473315_False_7.157138430988366_1008_ovr_None_None_2019_0_True_None.pkl"
sag,l2,False,0.5567553170549938,73.50157402449994,False,8.022969204609351,963,ovr,,,2019,0,False,,0.8731310271609307,0.03257774637525815,0.04069673846550115,0.024458754285015157,10,2.8962552547454834,"./trained_models/logisticRegression_bank_1_sag_l2_False_0.5567553170549938_73.50157402449994_False_8.022969204609351_963_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.2794426330000419,61.112290871619535,True,8.675598620853714,966,auto,,,2019,0,False,,0.8954259930991773,0.006324482314491821,0.0037562917887461467,0.008892672840237495,11,3.8703362941741943,"./trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.2794426330000419_61.112290871619535_True_8.675598620853714_966_auto_None_None_2019_0_False_None.pkl"
newton-cg,l2,False,0.845394433507219,80.86080339172669,True,6.124841886784367,951,multinomial,,,2019,0,True,,0.8954259930991773,0.006324482314491821,0.0037562917887461467,0.008892672840237495,12,4.822399854660034,"./trained_models/logisticRegression_bank_1_newton-cg_l2_False_0.845394433507219_80.86080339172669_True_6.124841886784367_951_multinomial_None_None_2019_0_True_None.pkl"
