solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,0,0.0951852798461914,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1025,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,1,0.14948368072509766,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_1.0_1025_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1025,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,2,0.20415973663330078,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_1.0_1025_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1025,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,3,0.2574739456176758,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_1.0_1025_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1025,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,5,0.3138003349304199,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_1.0_1025_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,8.64157307982185,1025,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,6,0.367687463760376,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.0001_10.0_False_8.64157307982185_1025_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.33048887096568536,1.297041306344685,False,8.73495987743816,1031,ovr,,,2019,0,False,,0.9672949002217295,0.02366498139095296,0.015609532674379034,0.031720430107526884,7,0.39475488662719727,"./trained_models/logisticRegression_compas_3_liblinear_l1_False_0.33048887096568536_1.297041306344685_False_8.73495987743816_1031_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.4973745280153124,18.833976122987696,True,5.283992389416481,980,ovr,,,2019,0,True,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,8,0.4538862705230713,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.4973745280153124_18.833976122987696_True_5.283992389416481_980_ovr_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.9310344807129842,82.22596976661706,False,2.512690917454818,1000,multinomial,,,2019,0,True,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,9,0.5206196308135986,"./trained_models/logisticRegression_compas_3_lbfgs_l2_False_0.9310344807129842_82.22596976661706_False_2.512690917454818_1000_multinomial_None_None_2019_0_True_None.pkl"
liblinear,l2,True,0.33048887096568536,1.297041306344685,False,8.73495987743816,1031,ovr,,,2019,0,False,,0.9700665188470067,0.015940683435239092,0.0034129692832765013,0.028468397587201683,10,0.879615306854248,"./trained_models/logisticRegression_compas_3_liblinear_l2_True_0.33048887096568536_1.297041306344685_False_8.73495987743816_1031_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.5892477850948087,27.874313610384153,False,0.7913112531941837,981,auto,,,2019,0,True,,0.9151884700665188,0.16869040234574345,0.2618235007313505,0.07555730396013637,11,0.9050712585449219,"./trained_models/logisticRegression_compas_3_liblinear_l1_False_0.5892477850948087_27.874313610384153_False_0.7913112531941837_981_auto_None_None_2019_0_True_None.pkl"
