solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,ovr,,,2019,0,False,,0.748,0.11015071618542156,0.20330082520630155,0.017000607164541576,0,0.11525797843933105,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,True,1.0,1000,ovr,,,2019,0,False,,0.744,0.10605235552968387,0.20330082520630155,0.008803885853066185,1,0.18265438079833984,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_True_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,True,1.0,1000,ovr,,,2019,0,False,,0.744,0.10605235552968387,0.20330082520630155,0.008803885853066185,2,0.24992156028747559,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_True_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,True,1.0,1000,auto,,,2019,0,False,,0.744,0.10605235552968387,0.20330082520630155,0.008803885853066185,3,0.31925320625305176,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_True_1.0_1000_auto_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,False,,0.748,0.11015071618542156,0.20330082520630155,0.017000607164541576,4,0.42494654655456543,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_False_None.pkl"
sag,l2,False,0.9800882833921191,39.77847622942739,True,1.6981333638637335,998,auto,,,2019,0,True,,0.704,0.0,0.0,0.0,5,0.434098482131958,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.9800882833921191_39.77847622942739_True_1.6981333638637335_998_auto_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.748,0.11015071618542156,0.20330082520630155,0.017000607164541576,6,0.54264235496521,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,7,0.6120331287384033,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,8,0.6813278198242188,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,9,0.7505476474761963,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,10,0.8196284770965576,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,11,0.8891894817352295,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,False,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,12,0.9595170021057129,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_False_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,False,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,13,1.0284638404846191,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_False_None.pkl"
lbfgs,none,False,0.9869361003167011,12.06091299874352,False,5.152153883456808,1002,multinomial,,,2019,0,False,,0.744,0.09852280920867736,0.18004501125281314,0.017000607164541576,14,1.1405878067016602,"./trained_models/logisticRegression_credit_9_lbfgs_none_False_0.9869361003167011_12.06091299874352_False_5.152153883456808_1002_multinomial_None_None_2019_0_False_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,False,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,15,1.209731101989746,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_False_None.pkl"
lbfgs,l2,False,0.21414302649604997,34.51369522985154,True,9.769482205780777,960,ovr,,,2019,0,True,,0.74,0.0868949022319332,0.15678919729932483,0.017000607164541576,16,1.3302738666534424,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.21414302649604997_34.51369522985154_True_9.769482205780777_960_ovr_None_None_2019_0_True_None.pkl"
lbfgs,none,False,0.7247910073247722,1.9366206777306727,True,9.235813585821031,960,ovr,,,2019,0,True,,0.748,0.08239377695061285,0.14778694673668413,0.017000607164541576,17,1.4935851097106934,"./trained_models/logisticRegression_credit_9_lbfgs_none_False_0.7247910073247722_1.9366206777306727_True_9.235813585821031_960_ovr_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.3544779477618545,99.91388180432446,True,2.9054678790433965,995,multinomial,,,2019,0,True,,0.748,0.08239377695061285,0.14778694673668413,0.017000607164541576,18,1.7208199501037598,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.3544779477618545_99.91388180432446_True_2.9054678790433965_995_multinomial_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.5846075667804428,74.4130078407817,True,1.4579201102315706,1042,auto,,,2019,0,False,,0.744,0.0707658699738687,0.12453113278319583,0.017000607164541576,19,1.8210797309875488,"./trained_models/logisticRegression_credit_9_lbfgs_l2_False_0.5846075667804428_74.4130078407817_True_1.4579201102315706_1042_auto_None_None_2019_0_False_None.pkl"
sag,l2,False,0.5560425218987795,59.58601500050746,True,5.505223170748307,1001,multinomial,,,2019,0,True,,0.704,0.0,0.0,0.0,20,1.8309452533721924,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.5560425218987795_59.58601500050746_True_5.505223170748307_1001_multinomial_None_None_2019_0_True_None.pkl"
lbfgs,none,False,0.241651152825159,96.1513860582635,True,6.060648881113255,1025,multinomial,,,2019,0,False,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,21,1.9737639427185059,"./trained_models/logisticRegression_credit_9_lbfgs_none_False_0.241651152825159_96.1513860582635_True_6.060648881113255_1025_multinomial_None_None_2019_0_False_None.pkl"
saga,l1,False,0.41299282731865056,82.92673679549287,True,2.9395013946093256,1006,auto,,,2019,0,True,,0.704,0.0,0.0,0.0,22,1.982255220413208,"./trained_models/logisticRegression_credit_9_saga_l1_False_0.41299282731865056_82.92673679549287_True_2.9395013946093256_1006_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,10.0,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,23,2.0502517223358154,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_10.0_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,19.46727298042549,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,24,2.123002052307129,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_19.46727298042549_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
sag,l2,False,0.0969181377928081,90.66812304569758,True,7.7389655109373825,1021,multinomial,,,2019,0,True,,0.704,0.0,0.0,0.0,25,2.1345720291137695,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.0969181377928081_90.66812304569758_True_7.7389655109373825_1021_multinomial_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,19.46727298042549,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,26,2.205712080001831,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_19.46727298042549_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,19.46727298042549,False,1.0,1000,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,27,2.2763500213623047,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_19.46727298042549_False_1.0_1000_auto_None_None_2019_0_True_None.pkl"
sag,l2,False,0.1960098034239616,82.10286937354746,True,0.4894800873787285,1020,multinomial,,,2019,0,False,,0.704,0.0,0.0,0.0,28,2.2867326736450195,"./trained_models/logisticRegression_credit_9_sag_l2_False_0.1960098034239616_82.10286937354746_True_0.4894800873787285_1020_multinomial_None_None_2019_0_False_None.pkl"
newton-cg,l2,False,0.0001,19.46727298042549,False,1.0,1034,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,29,2.3592562675476074,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_19.46727298042549_False_1.0_1034_auto_None_None_2019_0_True_None.pkl"
newton-cg,l2,False,0.0001,19.46727298042549,False,1.0,1033,auto,,,2019,0,True,,0.752,0.09402168392735706,0.17104276069017255,0.017000607164541576,30,2.4304299354553223,"./trained_models/logisticRegression_credit_9_newton-cg_l2_False_0.0001_19.46727298042549_False_1.0_1033_auto_None_None_2019_0_True_None.pkl"
