criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
gini,,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.8995841811908343,0.003181048223776791,0.00335919808536439,0.003002898362189192,0,8.07990288734436,"./trained_models/randomForest_bank_1_gini_None_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
gini,11,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.901353622931965,0.010938722887449896,0.015765693250480273,0.00611175252441952,1,14.347224473953247,"./trained_models/randomForest_bank_1_gini_11_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
log_loss,,9,1,0.012964604559228985,log2,,0.0,True,True,False,78,0.0,,2019,0,,,0.8941873838803858,0.0047146470340308985,0.009176084226794168,0.0002532098412676284,2,15.905823945999146,"./trained_models/randomForest_bank_1_log_loss_None_9_1_0.012964604559228985_log2_None_0.0_True_True_False_78_0.0_None_2019_0_None_None.pkl"
log_loss,12,9,5,0.0033892769403706157,sqrt,,0.0,True,True,False,73,0.0,,2019,0,,,0.8992302928426081,0.01306840804356555,0.023847086727411287,0.002289729359719812,3,17.591226816177368,"./trained_models/randomForest_bank_1_log_loss_12_9_5_0.0033892769403706157_sqrt_None_0.0_True_True_False_73_0.0_None_2019_0_None_None.pkl"
log_loss,11,9,5,0.0033892769403706157,sqrt,,0.0,True,True,False,73,0.0,,2019,0,,,0.8992302928426081,0.002375402641836293,0.0009229745538061884,0.0038278307298663973,4,19.23773431777954,"./trained_models/randomForest_bank_1_log_loss_11_9_5_0.0033892769403706157_sqrt_None_0.0_True_True_False_73_0.0_None_2019_0_None_None.pkl"
gini,18,5,2,0.04634995875395838,,,0.0,True,True,False,81,0.0,,2019,0,,,0.8853401751747324,0.027698329635589887,0.04606286959228134,0.009333789678898433,5,22.304401636123657,"./trained_models/randomForest_bank_1_gini_18_5_2_0.04634995875395838_None_None_0.0_True_True_False_81_0.0_None_2019_0_None_None.pkl"
gini,16,5,2,0.04634995875395838,,,0.0,True,True,False,81,0.0,,2019,0,,,0.8853401751747324,0.027698329635589887,0.04606286959228134,0.009333789678898433,6,25.363863706588745,"./trained_models/randomForest_bank_1_gini_16_5_2_0.04634995875395838_None_None_0.0_True_True_False_81_0.0_None_2019_0_None_None.pkl"
log_loss,,3,3,0.031193991439008046,sqrt,,0.0,True,False,False,55,0.0,,2019,0,,,0.8833937892594886,0.0005688098994387023,0.0011376197988774046,0.0,7,26.22165560722351,"./trained_models/randomForest_bank_1_log_loss_None_3_3_0.031193991439008046_sqrt_None_0.0_True_False_False_55_0.0_None_2019_0_None_None.pkl"
gini,5,5,2,0.04634995875395838,,,0.0,True,True,False,81,0.0,,2019,0,,,0.8853401751747324,0.027698329635589887,0.04606286959228134,0.009333789678898433,8,28.82015323638916,"./trained_models/randomForest_bank_1_gini_5_5_2_0.04634995875395838_None_None_0.0_True_True_False_81_0.0_None_2019_0_None_None.pkl"
gini,18,3,4,0.047273226545475604,log2,,0.0,True,True,True,50,0.0,,2019,0,,,0.8827744846500929,0.0,0.0,0.0,9,29.667452573776245,"./trained_models/randomForest_bank_1_gini_18_3_4_0.047273226545475604_log2_None_0.0_True_True_True_50_0.0_None_2019_0_None_None.pkl"
