criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
gini,,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.9639689578713969,0.02160889090814468,0.01693926096656473,0.02627852084972463,0,0.5362710952758789,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,True,100,0.0,,2019,0,,,0.9639689578713969,0.02160889090814468,0.01693926096656473,0.02627852084972463,1,1.011545181274414,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_True_100_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,True,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,2,1.4776198863983154,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_True_99_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,True,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,3,1.9464406967163086,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_True_99_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,True,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,4,2.415512800216675,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_True_99_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,True,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,5,2.8814291954040527,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_True_99_0.0_None_2019_0_None_None.pkl"
gini,,9,4,0.07395383399554571,sqrt,,0.0,True,False,False,57,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,6,3.0191309452056885,"./trained_models/randomForest_compas_3_gini_None_9_4_0.07395383399554571_sqrt_None_0.0_True_False_False_57_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,7,3.4845266342163086,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.9634146341463414,0.019444388743642533,0.012610256637560435,0.02627852084972463,8,3.9549858570098877,"./trained_models/randomForest_compas_3_gini_None_2_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,7,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.9689578713968958,0.017606933886139466,0.005119453924914641,0.03009441384736429,9,4.404350519180298,"./trained_models/randomForest_compas_3_gini_None_7_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
gini,,10,1,0.0,,,0.0,True,False,False,99,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,10,4.847862005233765,"./trained_models/randomForest_compas_3_gini_None_10_1_0.0_None_None_0.0_True_False_False_99_0.0_None_2019_0_None_None.pkl"
log_loss,,3,1,0.04288521547251813,sqrt,,0.0,True,False,True,86,0.0,,2019,0,,,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,11,5.057085037231445,"./trained_models/randomForest_compas_3_log_loss_None_3_1_0.04288521547251813_sqrt_None_0.0_True_False_True_86_0.0_None_2019_0_None_None.pkl"
