criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
gini,,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.752,0.06025310972551881,0.09227306826706677,0.02823315118397085,0,0.33570122718811035,"./trained_models/randomForest_credit_9_gini_None_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
gini,,9,4,0.039025505383866524,log2,,0.0,True,False,False,83,0.0,,2019,0,,,0.74,0.05293069624418856,0.08552138034508627,0.020340012143290835,1,0.45638155937194824,"./trained_models/randomForest_credit_9_gini_None_9_4_0.039025505383866524_log2_None_0.0_True_False_False_83_0.0_None_2019_0_None_None.pkl"
gini,,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.752,0.06025310972551881,0.09227306826706677,0.02823315118397085,2,0.7359652519226074,"./trained_models/randomForest_credit_9_gini_None_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
gini,11,2,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.752,0.08687053366255956,0.0960240060015004,0.0777170613236187,3,0.8487346172332764,"./trained_models/randomForest_credit_9_gini_11_2_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
gini,19,2,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.764,0.06254478009301961,0.06376594148537135,0.06132361870066788,4,0.9624106884002686,"./trained_models/randomForest_credit_9_gini_19_2_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
gini,16,2,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.764,0.06254478009301961,0.06376594148537135,0.06132361870066788,5,1.0736491680145264,"./trained_models/randomForest_credit_9_gini_16_2_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
gini,,2,2,0.04472882415653143,auto,,0.0,True,False,True,61,0.0,,2019,0,,,0.748,0.073817862480192,0.10877719429857463,0.03885853066180935,6,1.1677043437957764,"./trained_models/randomForest_credit_9_gini_None_2_2_0.04472882415653143_auto_None_0.0_True_False_True_61_0.0_None_2019_0_None_None.pkl"
log_loss,,4,3,0.007928645955724813,log2,,0.0,True,True,True,71,0.0,,2019,0,,,0.764,0.05363294375506445,0.05626406601650413,0.05100182149362477,7,1.3148744106292725,"./trained_models/randomForest_credit_9_log_loss_None_4_3_0.007928645955724813_log2_None_0.0_True_True_True_71_0.0_None_2019_0_None_None.pkl"
gini,12,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.752,0.06148224214523577,0.06376594148537135,0.05919854280510019,8,1.425788402557373,"./trained_models/randomForest_credit_9_gini_12_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
gini,16,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.764,0.06254478009301961,0.06376594148537135,0.06132361870066788,9,1.539064884185791,"./trained_models/randomForest_credit_9_gini_16_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
gini,5,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.748,0.08717548239518896,0.10877719429857463,0.06557377049180328,10,1.644366979598999,"./trained_models/randomForest_credit_9_gini_5_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
entropy,15,6,4,0.08108680676434298,auto,,0.0,True,False,True,63,0.0,,2019,0,,,0.724,0.025131282820705175,0.05026256564141035,0.0,11,1.7369577884674072,"./trained_models/randomForest_credit_9_entropy_15_6_4_0.08108680676434298_auto_None_0.0_True_False_True_63_0.0_None_2019_0_None_None.pkl"
entropy,13,6,3,0.025995112081928284,log2,,0.0,True,True,False,77,0.0,,2019,0,,,0.756,0.03796201782686109,0.049512378094523635,0.02641165755919854,12,1.8776462078094482,"./trained_models/randomForest_credit_9_entropy_13_6_3_0.025995112081928284_log2_None_0.0_True_True_False_77_0.0_None_2019_0_None_None.pkl"
log_loss,,3,5,0.06285565970237797,auto,,0.0,True,False,False,72,0.0,,2019,0,,,0.744,0.005251312828207053,0.010502625656414105,0.0,13,1.9860281944274902,"./trained_models/randomForest_credit_9_log_loss_None_3_5_0.06285565970237797_auto_None_0.0_True_False_False_72_0.0_None_2019_0_None_None.pkl"
gini,13,3,5,7.702505561708024e-05,sqrt,,0.0,True,True,False,58,0.0,,2019,0,,,0.76,0.053285520833760355,0.06376594148537135,0.042805100182149364,14,2.0988407135009766,"./trained_models/randomForest_credit_9_gini_13_3_5_7.702505561708024e-05_sqrt_None_0.0_True_True_False_58_0.0_None_2019_0_None_None.pkl"
entropy,,7,1,0.07925712869665731,sqrt,,0.0,True,False,False,69,0.0,,2019,0,,,0.712,0.023255813953488372,0.046511627906976744,0.0,15,2.198833465576172,"./trained_models/randomForest_credit_9_entropy_None_7_1_0.07925712869665731_sqrt_None_0.0_True_False_False_69_0.0_None_2019_0_None_None.pkl"
log_loss,,2,4,0.007661238759735963,auto,,0.0,True,True,True,50,0.0,,2019,0,,,0.764,0.040852084605850915,0.022505626406601642,0.05919854280510019,16,2.304630756378174,"./trained_models/randomForest_credit_9_log_loss_None_2_4_0.007661238759735963_auto_None_0.0_True_True_True_50_0.0_None_2019_0_None_None.pkl"
