C,kernel,degree,gamma,coef0,shrinking,probability,tol,cache_size,class_weight,verbose,max_iter,decision_function_shape,break_ties,random_state,score,AOD,TPR,FPR,counter,timer,write_file
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1000,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,0,0.37560200691223145,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1000_1000_ovr_False_2019.pkl"
4.747573971612518,linear,1,auto,3.001117498345849,False,True,0.8991670260874559,204.47608304910565,,0,985,ovr,True,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,1,0.7238075733184814,"./trained_models/svm_compas_3_4.747573971612518_linear_1_auto_3.001117498345849_False_True_0.8991670260874559_204.47608304910565_None_0_985_985_ovr_True_2019.pkl"
4.099563850567568,linear,3,auto,2.001760593536455,True,True,0.6918884377557213,225.4206783465015,,0,963,ovr,True,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,2,1.0642032623291016,"./trained_models/svm_compas_3_4.099563850567568_linear_3_auto_2.001760593536455_True_True_0.6918884377557213_225.4206783465015_None_0_963_963_ovr_True_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1000,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,3,1.4186277389526367,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1000_1000_ovr_False_2019.pkl"
4.037696583331705,linear,8,scale,6.939935126735008,True,True,0.35748034745849483,209.0619829816477,,0,1000,ovr,True,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,4,1.7586941719055176,"./trained_models/svm_compas_3_4.037696583331705_linear_8_scale_6.939935126735008_True_True_0.35748034745849483_209.0619829816477_None_0_1000_1000_ovr_True_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1019,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,5,2.115469217300415,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1019_1019_ovr_False_2019.pkl"
4.5056112498613645,linear,1,auto,1.518789970064391,False,True,0.5350625160754959,266.6565925043568,balanced,0,992,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,6,2.456177234649658,"./trained_models/svm_compas_3_4.5056112498613645_linear_1_auto_1.518789970064391_False_True_0.5350625160754959_266.6565925043568_balanced_0_992_992_ovr_False_2019.pkl"
4.007384879147815,linear,10,scale,2.6189413546172564,False,True,0.24313004941216526,263.9114099196586,,0,971,ovo,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,7,2.797929048538208,"./trained_models/svm_compas_3_4.007384879147815_linear_10_scale_2.6189413546172564_False_True_0.24313004941216526_263.9114099196586_None_0_971_971_ovo_False_2019.pkl"
1.8986410450743558,linear,9,scale,2.1097763334161064,True,True,0.766090217898218,297.8430438857956,,0,1028,ovo,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,8,3.1504127979278564,"./trained_models/svm_compas_3_1.8986410450743558_linear_9_scale_2.1097763334161064_True_True_0.766090217898218_297.8430438857956_None_0_1028_1028_ovo_False_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1019,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,9,3.507110118865967,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1019_1019_ovr_False_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1019,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,10,3.863905429840088,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1019_1019_ovr_False_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1020,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,11,4.219112157821655,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1020_1020_ovr_False_2019.pkl"
1.0,linear,3,scale,0.0,True,True,0.001,250.0,,0,1020,ovr,False,2019,0.970620842572062,0.015047206923682145,0.0,0.03009441384736429,12,4.576683044433594,"./trained_models/svm_compas_3_1.0_linear_3_scale_0.0_True_True_0.001_250.0_None_0_1020_1020_ovr_False_2019.pkl"
