age,workclass,fnlwgt,education,martial-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,label
30s,State-gov,3.0,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,2.0,0.0,40.0,United-States,less-than-50K
50s,Self-emp-not-inc,4.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,13.0,United-States,less-than-50K
30s,Private,10.0,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,Private,11.0,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Private,16.0,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,40.0,Cuba,less-than-50K
30s,Private,14.0,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,8.0,9th,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0.0,0.0,16.0,Jamaica,less-than-50K
50s,Self-emp-not-inc,10.0,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,more-than-50K
30s,Private,2.0,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,14.0,0.0,50.0,United-States,more-than-50K
40s,Private,7.0,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,5.0,0.0,40.0,United-States,more-than-50K
30s,Private,14.0,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,80.0,United-States,more-than-50K
30s,State-gov,7.0,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,more-than-50K
20s,Private,6.0,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,30.0,United-States,less-than-50K
30s,Private,10.0,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Private,6.0,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,unknown,more-than-50K
30s,Private,12.0,7th-8th,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,45.0,Mexico,less-than-50K
20s,Self-emp-not-inc,8.0,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,35.0,United-States,less-than-50K
30s,Private,9.0,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,United-States,less-than-50K
30s,Private,1.0,11th,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States,less-than-50K
40s,Self-emp-not-inc,14.0,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,45.0,United-States,more-than-50K
40s,Private,9.0,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,more-than-50K
50s,Private,15.0,HS-grad,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,20.0,United-States,less-than-50K
30s,Federal-gov,3.0,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40.0,United-States,less-than-50K
40s,Private,5.0,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,20.0,40.0,United-States,less-than-50K
50s,Private,5.0,HS-grad,Divorced,Tech-support,Unmarried,White,Female,0.0,0.0,40.0,United-States,less-than-50K
50s,Local-gov,10.0,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,more-than-50K
teens(10-20),Private,8.0,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,less-than-50K
50s,unknown,9.0,Some-college,Married-civ-spouse,unknown,Husband,Asian-Pac-Islander,Male,0.0,0.0,60.0,South-Africa,more-than-50K
30s,Private,18.0,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,80.0,United-States,less-than-50K
40s,Private,9.0,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,Local-gov,9.0,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,52.0,United-States,less-than-50K
20s,Private,13.0,Some-college,Never-married,Sales,Own-child,Black,Male,0.0,0.0,44.0,United-States,less-than-50K
40s,Private,19.0,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,0.0,14.0,40.0,United-States,less-than-50K
30s,Federal-gov,2.0,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0.0,0.0,40.0,United-States,less-than-50K
20s,State-gov,15.0,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,15.0,United-States,less-than-50K
40s,Private,12.0,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,Puerto-Rico,less-than-50K
20s,Private,9.0,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,less-than-50K
