sex,age,race,d,e,f,g,h,i,j,k,l,label
male,45+,non-caucasian,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,high-recid-risk
male,0-25,non-caucasian,0.0,4.0,4.0,1.0,1.0,0.0,4.0,3.0,4.0,high-recid-risk
male,0-25,non-caucasian,0.0,8.0,1.0,1.0,0.0,0.0,8.0,6.0,1.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,low-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,caucasian,0.0,6.0,14.0,1.0,1.0,0.0,6.0,2.0,14.0,high-recid-risk
male,25-45,non-caucasian,0.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,3.0,low-recid-risk
female,25-45,caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,0-25,caucasian,0.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,high-recid-risk
male,25-45,caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,6.0,3.0,0.0,1.0,0.0,6.0,4.0,3.0,high-recid-risk
female,25-45,caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,low-recid-risk
female,45+,caucasian,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,high-recid-risk
male,25-45,non-caucasian,0.0,3.0,7.0,1.0,1.0,0.0,3.0,2.0,7.0,high-recid-risk
male,25-45,non-caucasian,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,low-recid-risk
male,25-45,non-caucasian,0.0,10.0,3.0,1.0,0.0,0.0,10.0,9.0,3.0,low-recid-risk
male,25-45,caucasian,0.0,5.0,6.0,1.0,1.0,1.0,5.0,4.0,6.0,high-recid-risk
male,25-45,caucasian,0.0,3.0,5.0,1.0,1.0,0.0,3.0,2.0,5.0,high-recid-risk
male,45+,non-caucasian,0.0,6.0,13.0,1.0,1.0,0.0,6.0,3.0,13.0,high-recid-risk
male,0-25,non-caucasian,0.0,9.0,1.0,1.0,1.0,0.0,9.0,9.0,1.0,high-recid-risk
male,25-45,caucasian,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,high-recid-risk
female,0-25,caucasian,0.0,4.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,low-recid-risk
male,0-25,non-caucasian,0.0,4.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,high-recid-risk
male,25-45,caucasian,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,low-recid-risk
