checking-account-status,duration-months,credit-history,purpose,credit-amount,saving-account-status,employment-status,disposable-income-percent,sex,other-debts,current-residence-time,property-type,age,installment-plans,housing,num-credit-lines,job-type,num-dependents,telephone,foreigner,label
owe-money,6.0,critical-accounts,radio-television,1169.0,unknown-nosavings,7+yr,4.0,male,none,4.0,real-estate,67.0,none,own,2.0,low-skill-employed,1.0,yes,yes,not-risky
0-200DM,48.0,existing-credit-paid-on-time,radio-television,5951.0,<100DM,1-4yr,2.0,female,none,2.0,real-estate,22.0,none,own,1.0,low-skill-employed,1.0,none,yes,risky
no-account,12.0,critical-accounts,education,2096.0,<100DM,4-7yr,2.0,male,none,3.0,real-estate,49.0,none,own,1.0,unemployed(resident),2.0,none,yes,not-risky
owe-money,42.0,existing-credit-paid-on-time,furniture,7882.0,<100DM,4-7yr,2.0,male,guarantor,4.0,insurance,45.0,none,free,1.0,low-skill-employed,2.0,none,yes,not-risky
owe-money,24.0,day-in-paying-credit,new-car,4870.0,<100DM,1-4yr,3.0,male,none,4.0,unknown,53.0,none,free,2.0,low-skill-employed,2.0,none,yes,risky
no-account,36.0,existing-credit-paid-on-time,education,9055.0,unknown-nosavings,1-4yr,2.0,male,none,4.0,unknown,35.0,none,free,1.0,unemployed(resident),2.0,yes,yes,not-risky
no-account,24.0,existing-credit-paid-on-time,furniture,2835.0,500-1000DM,7+yr,3.0,male,none,4.0,insurance,53.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,36.0,existing-credit-paid-on-time,used-car,6948.0,<100DM,1-4yr,2.0,male,none,2.0,car,35.0,none,rent,1.0,high-skill-employed,1.0,yes,yes,not-risky
no-account,12.0,existing-credit-paid-on-time,radio-television,3059.0,1000+DM,4-7yr,2.0,male,none,4.0,real-estate,61.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
0-200DM,30.0,critical-accounts,new-car,5234.0,<100DM,unemployed,4.0,male,none,2.0,car,28.0,none,own,2.0,high-skill-employed,1.0,none,yes,risky
0-200DM,12.0,existing-credit-paid-on-time,new-car,1295.0,<100DM,<1yr,3.0,female,none,1.0,car,25.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
owe-money,48.0,existing-credit-paid-on-time,buisness,4308.0,<100DM,<1yr,3.0,female,none,4.0,insurance,24.0,none,rent,1.0,low-skill-employed,1.0,none,yes,risky
0-200DM,12.0,existing-credit-paid-on-time,radio-television,1567.0,<100DM,1-4yr,1.0,female,none,1.0,car,22.0,none,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,24.0,critical-accounts,new-car,1199.0,<100DM,7+yr,4.0,male,none,4.0,car,60.0,none,own,2.0,unemployed(resident),1.0,none,yes,risky
owe-money,15.0,existing-credit-paid-on-time,new-car,1403.0,<100DM,1-4yr,2.0,female,none,4.0,car,28.0,none,rent,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,radio-television,1282.0,100-500DM,1-4yr,4.0,female,none,2.0,car,32.0,none,own,1.0,unemployed(resident),1.0,none,yes,risky
no-account,24.0,critical-accounts,radio-television,2424.0,unknown-nosavings,7+yr,4.0,male,none,4.0,insurance,53.0,none,own,2.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,30.0,all-credit-paid-on-time,buisness,8072.0,unknown-nosavings,<1yr,2.0,male,none,3.0,car,25.0,bank,own,3.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,24.0,existing-credit-paid-on-time,used-car,12579.0,<100DM,7+yr,4.0,female,none,2.0,unknown,44.0,none,free,1.0,high-skill-employed,1.0,yes,yes,risky
no-account,24.0,existing-credit-paid-on-time,radio-television,3430.0,500-1000DM,7+yr,3.0,male,none,2.0,car,31.0,none,own,1.0,low-skill-employed,2.0,yes,yes,not-risky
no-account,9.0,critical-accounts,new-car,2134.0,<100DM,1-4yr,4.0,male,none,4.0,car,48.0,none,own,3.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,6.0,existing-credit-paid-on-time,radio-television,2647.0,500-1000DM,1-4yr,2.0,male,none,3.0,real-estate,44.0,none,rent,1.0,low-skill-employed,2.0,none,yes,not-risky
owe-money,10.0,critical-accounts,new-car,2241.0,<100DM,<1yr,1.0,male,none,3.0,real-estate,48.0,none,rent,2.0,unemployed(resident),2.0,none,no,not-risky
0-200DM,12.0,critical-accounts,used-car,1804.0,100-500DM,<1yr,3.0,male,none,4.0,insurance,44.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
no-account,10.0,critical-accounts,furniture,2069.0,unknown-nosavings,1-4yr,2.0,male,none,1.0,car,26.0,none,own,2.0,low-skill-employed,1.0,none,no,not-risky
owe-money,6.0,existing-credit-paid-on-time,furniture,1374.0,<100DM,1-4yr,1.0,male,none,2.0,real-estate,36.0,bank,own,1.0,unemployed(resident),1.0,yes,yes,not-risky
no-account,6.0,all-credit-paid-on-time,radio-television,426.0,<100DM,7+yr,4.0,male,none,4.0,car,39.0,none,own,1.0,unemployed(resident),1.0,none,yes,not-risky
200+DM,12.0,cur-ank-all-credit-paid-on-time,radio-television,409.0,1000+DM,1-4yr,3.0,female,none,3.0,real-estate,42.0,none,rent,2.0,low-skill-employed,1.0,none,yes,not-risky
0-200DM,7.0,existing-credit-paid-on-time,radio-television,2415.0,<100DM,1-4yr,3.0,male,guarantor,2.0,real-estate,34.0,none,own,1.0,low-skill-employed,1.0,none,yes,not-risky
owe-money,60.0,day-in-paying-credit,buisness,6836.0,<100DM,7+yr,3.0,male,none,4.0,unknown,63.0,none,own,2.0,low-skill-employed,1.0,yes,yes,risky
0-200DM,18.0,existing-credit-paid-on-time,buisness,1913.0,1000+DM,<1yr,3.0,male,none,3.0,real-estate,36.0,bank,own,1.0,low-skill-employed,1.0,yes,yes,not-risky
owe-money,24.0,existing-credit-paid-on-time,furniture,4020.0,<100DM,1-4yr,2.0,male,none,2.0,car,27.0,stores,own,1.0,low-skill-employed,1.0,none,yes,not-risky
